ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs
XV000001,phl,"aníi wée wíi hínu, činaaróom, aninaám wíi keéna pilaáanu.",aníi\twée\twíi\thin\t-u\tčinaaróom\taninaám\twíi\tkeéna\tpil\t-á\t-án\t-u,3SG.PROX.OBL\tin\twater\tbe.PRS\t-MSG\t<place>\t3PL.PROX.ACC\twater\twhy.not\tdrink\t-CAUS\t-PRS\t-MSG,"Here, in Chinarom, is water, why not have them [the goats] drink?",,,A:PAS070,,SN000002 ; SN001212 ; SN001894
XV000002,phl,tíi kakaríi khoṇḍéeli.,tíi\tkakaríi\tkhoṇḍ\t-á\t-íl\t-i,3SG.OBL\tskull\ttalk\t-CAUS\t-PFV\t-F,He made the skull speak.,,,A:ABO035,,SN000002 ; SN001154
XV000003,phl,yaá ba tu mhaaríiṛ yaá ba lo eé máara.,yaá\tba\ttu\tmhaaré\t-eṛ\tyaá\tba\tlo\teé\tmar\t-e,or\tTOP\t2SG.NOM\tkill\t-2SG\tor\tTOP\t3MSG.DIST.NOM\tAMPL\tdie\t-3SG,Either you will kill him or he will die anyway.,,,A:MAA013,,SN000004 ; SN001422 ; SN002370
XV000004,phl,laláyoo thaní ba so khóṇḍa de.,laláyoo\tthaní\tba\tso\tkhoṇḍ\t-e\tde,my.dear\tQT\tTOP\t3MSG.NOM\ttalk\t-3SG\tPST,"He used to speak to me, saying ""O 'lalay' [my dear brother]"".",,,A:HUA010,,SN000004
XV000005,phl,paačhambeé uthíitu seentá so bi uthíi de maní.,paačhambeé\tuthíit\t-u\tseentá\tso\tbi\tuthí\t-e\tde\tmaní,<person>\tstand.up\t-MSG\tCONDH\t3MSG.NOM\tSEP\tget.up\t-3SG\tPST\tHSAY,"Whenever Pashambi stood up, he also stood up.",,,A:UXB016,,SN000004
XV000006,phl,čoór palóo.,čoór\tpalá\t-e,thief\tsteal\t-3SG,A thief will come and steal [them].,,,A:KEE077,,SN000004
XV000007,phl,dharándi ba míi dúu kučúra.,dharándi\tba\tmíi\tdu\tkučúru\t-a,outside\tTOP\t1SG.GEN\ttwo\tdog\t-PL,My two dogs were outside.,,,A:HUA017,,SN000005 ; SN000675 ; SN001320 ; SN001534
XV000008,phl,áaṇc̣a paší íṇc̣ii dhúta the wíi yhóolu hínu.,áaṇc̣u\t-a\tpaš\t-í\tiṇc̣\t-ii\tdhut\t-a\tthe\twíi\tyhéi\t-íl\t-u\thin\t-u,raspberry\t-PL\tsee\t-CV\tbear\t-GEN\tmouth\t-OBL\tto\twater\tcome\t-PFV\t-MSG\tbe.PRS\t-MSG,"When the bear saw the raspberries, his mouth began to water.",,,A:KAT129,,SN000005 ; SN000990 ; SN001010 ; SN002487
XV000009,phl,asíi ǰameetí wée áaṣṭ kuṇaaká hína.,asíi\tǰamaát\t-í\twée\táaṣṭ\tkuṇaák\t-a\thin\t-a,1PL.GEN\tclass\t-PL\tin\teight\tchild\t-PL\tbe.PRS\t-MPL,There are eight children in our class.,,,A:OUR010,,SN000005 ; SN000060
XV000010,phl,páanda be ba se kúṛii banglée širíngan de.,pand\t-a\tbe\t-í\tba\tse\tkúṛi\t-ii\tbanglái\t-a\tširíng\t-en\tde,path\t-OBL\tgo\t-CV\tTOP\tREM\twoman\t-GEN\tbracelet\t-PL\trattle\t-3PL\tPST,"On the way, the woman's bangles started to rattle.",,,A:WOM640,,SN000005 ; SN000130 ; SN002064 ; SN002164
XV000011,phl,luumái ṣiṣ čulaá áak táapaṛa ǰe ṣačí gíi híni.,luumái\tṣiṣ\tčulá\t-í\tak\ttáapaṛ\t-a\tǰe\tṣač\t-í\tgíi\thin\t-i,fox\thead\tshake\t-CV\tIDEF\thill\t-OBL\tup\tclimb\t-CV\tgo.PFV.FSG\tbe.PRS\t-F,The fox shook its head and climbed up a hill.,,,A:KAT018,,SN000006 ; SN000990 ; SN001433 ; SN002201
XV000012,phl,se míiša ba huṇḍíi thíi se bhalaáii toobakíim ǰíti.,se\tméeš\t-a\tba\thuṇḍíi\tthíi\tse\tbhalaá\t-ii\ttoobák\t-íim\tǰít\t-i,REM\tman\t-OBL\tTOP\tfrom.above\tfrom\tREM\tevil.spirit\t-GEN\trifle\t-INS\thit.PFV\t-F,The man fired at the spirit with his gun.,,,A:WOM671,,SN000006
XV000013,phl,bakaraál heewandá díiša haansáanu neé.,bakaraál\theewánd\t-a\tdéeš\t-a\tháans\t-án\t-u\tneé,shepherd\twinter\t-OBL\tvillage\t-OBL\texist\t-PRS\t-MSG\tas.is.known,"The shepherd spends the winter in the village, as we know.",,,A:SHY007,,SN000006 ; SN000957
XV000014,phl,tíi so meewá samaṭí ba booǰée wée de wheelílu.,tíi\tso\tmeewá\tsamaṭé\t-í\tba\tbooǰái\t-a\twée\tde\t-í\twhaalé\t-íl\t-u,3SG.OBL\tREM.MSG.NOM\tfruit\tgather\t-CV\tTOP\tsack\t-OBL\tinto\tput\t-CV\ttake.down\t-PFV\t-MSG,"He collected the fruit, put it in a bag and took it down [to his home].",,,A:HUB010,,SN000006 ; SN000443 ; SN002042 ; SN002479
XV000015,phl,aaweelíi se dúu mítra bháaṭa áak bhruk bhaagáana.,aaweelíi\tse\tdu\tmitr\t-a\tbhe\t-áṭ\t-a\tak\tbhruk\tbhaagé\t-án\t-a,first\tREM\ttwo\tblood.brother\t-PL\tbecome\t-AG\t-MPL\tIDEF\tkidney\tdivide\t-PRS\t-MPL,"First, the two who are becoming blood-brothers split a kidney.",,,A:MIT022-3,,SN000007 ; SN000322 ; SN001548 ; SN002065
