ID,Description,Entry_ID,Media_IDs
SN000001,Plural suffix (with a-declension nouns),LX000001,
SN000002,Causative (valence-increasing) suffix,LX000002,
SN000003,Oblique case suffix (with a-declension nouns),LX000003,
SN000004,Third person singular suffix,-a_1,
SN000005,Plural suffix (with a-declension nouns),-a_2,
SN000006,Oblique case suffix (with a-declension nouns),-a_3,
SN000007,Masculine plural agreement suffix,-a_4,
SN000008,Masculine non-nominative and non-singular agreement suffix,-a_5,
SN000009,Infinitive suffix added to the verb root,LX000004,
SN000010,Converb suffix (with a-ending verb stems),LX000005,
SN000011,dwelling,LX000006,
SN000012,cloud,LX000007,
SN000013,to enter; come inside; move into,LX000008,
SN000014,a pine tree,LX000009,
SN000015,"half; half of, some of; the one half; half of the people; some of them, etc.",LX000010,
SN000016,"repeatedly, again and again; continuously",LX000011,
SN000017,"in the future; next time, another time",LX000012,
SN000018,today,LX000013,
SN000019,until today,LX000014,
SN000020,after today,LX000015,
SN000021,from today,LX000016,
SN000022,nowadays,LX000017,
SN000023,today's,LX000018,
SN000024,"one; one (person), someone",LX000019,
SN000025,"a, an; a certain",LX000020,
SN000026,one and a half,LX000021,
SN000027,one each,LX000022,
SN000028,thunder,LX000023,
SN000029,some; a few,LX000024,
SN000030,cupboard,LX000025,
SN000031,potato,LX000026,
SN000032,"ordinary, common",LX000027,
SN000033,instrument to pull out teeth or nails,LX000028,
SN000034,rub; wrinkle,LX000029,
SN000035,grain sack (a large measure),LX000030,
SN000036,to forget,LX000031,
SN000037,forgot (masc sg),LX000032,
SN000038,Present tense suffix,LX000033,
SN000039,Plural suffix (with aan-declension nouns),LX000034,
SN000040,Present tense suffix (with a closed class of (motion) verbs followed by masculine agreement suffix),LX000035,
SN000041,intestine; guts,LX000036,
SN000042,sickle,LX000037,
SN000043,raspberry,LX000038,
SN000044,rest; ease,LX000039,
SN000045,"at rest, at ease",LX000040,
SN000046,to rest,LX000041,
SN000047,sapling of peach tree,LX000042,
SN000048,peach tree,LX000043,
SN000049,awl (for sewing shoes),LX000044,
SN000050,chin,LX000045,
SN000051,cheap,LX000046,
SN000052,"to turn, twist",LX000047,
SN000053,knot (in wood),LX000048,
SN000054,hail,LX000049,
SN000055,apricot,LX000050,
SN000056,sapling of apricot tree,LX000051,
SN000057,apricot tree,LX000052,
SN000058,season when apricots are ripe,LX000053,
SN000059,season when the apricot flowers are in bloom,LX000054,
SN000060,eight,LX000055,
SN000061,160 (lit. eight twenties),LX000056,
SN000062,a small brown bird usually found flying over fields,LX000057,
SN000063,Suffix added to verb stem to form agentive verbal noun,LX000058,
SN000064,sound,LX000059,
SN000065,to get stuck,LX000060,
SN000066,first,LX000061,
SN000067,narrow ; tight,LX000062,
SN000068,"eventually; in the end, at last",LX000063,
SN000069,"eventually, finally",LX000064,
SN000070,at last; finally; in the end,LX000065,
SN000071,First person plural suffix (with a-ending verb stems),LX000066,
SN000072,verse (in the Qur'an),LX000067,
SN000073,sky,LX000068,
SN000074,sky-coloured,LX000069,
SN000075,half-grown she-goat,LX000070,
SN000076,worthless; wasted,LX000071,
SN000077,to go wasted; to become useless,LX000072,
SN000078,cowife,LX000073,
SN000079,entered (masc sg),LX000074,
SN000080,eyebrow,LX000075,
SN000081,eyelashes,LX000076,
SN000082,eye,LX000077,
SN000083,sane,LX000078,
SN000084,blinking (involuntary),LX000079,
SN000085,winking (signalling to sb),LX000080,
SN000086,walnut,LX000081,
SN000087,fourth month of summer [lit. ripening of walnuts] (according to one traditional calender),LX000082,
SN000088,walnut tree,LX000083,
SN000089,respect,LX000084,
SN000090,to show respect,LX000085,
SN000091,forest; upper part of hill (not part of anyone's private property),LX000086,
SN000092,halfway,LX000087,
SN000093,as far as halfway,LX000088,
SN000094,halfway,LX000089,
SN000095,from the middle,LX000090,
SN000096,important,LX000091,
SN000097,Verbal Noun suffix,LX000092,
SN000098,Obligative suffix,LX000093,
SN000099,"up, up there",LX000094,
